Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.627,0.6397,0.5525,0.4127,0.1704,0.10941734493265634,0.6310998167401045
0.5977,0.6397,0.3787,0.4377,0.1916,0.12674807335730454,0.6103400677059192
0.4679,0.4799,0.389,0.39,0.1521,0.09498641955563965,0.4720147281980798
0.4599,0.4799,0.3603,0.4483,0.201,0.13456181834923686,0.46571514624034804
0.5819,0.5937,0.446,0.2947,0.0868,0.047146595742324764,0.5870499739010231
0.5582,0.5937,0.3518,0.4143,0.1716,0.11048093302236042,0.5696335465352192
0.731,0.8196,0.3961,0.5144,0.2646,0.18978085539536813,0.7520479025734277
0.7383,0.8196,0.5559,0.6679,0.4461,0.36456805281837484,0.7491479655048019
0.5741,0.6143,0.3361,0.4107,0.1687,0.10809653104968436,0.5871611595692524
0.5796,0.6143,0.4345,0.4886,0.2387,0.1668720712745621,0.5885871569610936
0.59,0.6091,0.4747,0.4074,0.166,0.10593819319728491,0.5962257785893509
0.5806,0.6091,0.2969,0.3173,0.1007,0.05671202832464267,0.5923447300982988
0.4661,0.4794,0.3969,0.4374,0.1913,0.1265310018599391,0.4701336703240211
0.4499,0.4794,0.3311,0.4984,0.2484,0.17536587403589535,0.4572734777876245
0.6785,0.7038,0.5018,0.3784,0.1432,0.08808010411561373,0.6874480963450615
0.6409,0.7038,0.4228,0.5369,0.2883,0.2112192566716122,0.6547976325113737
0.6249,0.6616,0.4613,0.4739,0.2246,0.15460259232474685,0.6347796035722592
0.6204,0.6616,0.4264,0.4611,0.2126,0.14437360653999415,0.6319272846698427
0.4851,0.487,0.48,0.6072,0.3686,0.2872958861075215,0.48543775527875443
0.4747,0.487,0.4235,0.4899,0.24,0.16798426312455356,0.4778671708642091
0.6599,0.7068,0.5171,0.5736,0.3291,0.24918555126138278,0.6689589450610021
0.6538,0.7068,0.4741,0.543,0.2948,0.2172699047519997,0.6652654918038979
0.6379,0.6867,0.3055,0.3834,0.147,0.09101862519580373,0.6548982515024311
0.6371,0.6867,0.3363,0.4062,0.165,0.10515981118863103,0.6533582176917334
0.5039,0.4938,0.5365,0.5581,0.3115,0.2326912519718804,0.5018603447483749
0.4707,0.4938,0.3481,0.4337,0.1881,0.1238721157255944,0.4777410845694246
0.6059,0.652,0.4274,0.5087,0.2587,0.18456712364281552,0.6170051270689529
0.6136,0.652,0.3915,0.4159,0.173,0.11155070025960055,0.6258572811740938
0.6794,0.741,0.5055,0.5952,0.3543,0.2733111228230142,0.6904508700417862
0.678,0.741,0.4052,0.4807,0.231,0.16020840818024631,0.6946307588467598
0.8089,0.8549,0.7141,0.6966,0.4852,0.40500340576057287,0.8143132802117875
0.7934,0.8549,0.6717,0.7107,0.5051,0.4258099334548403,0.800188374012161
0.5973,0.6347,0.3507,0.3895,0.1517,0.0946822685749388,0.6101360100211655
0.6297,0.6347,0.6129,0.546,0.2981,0.22028331666963802,0.6307647037964068
0.6972,0.7188,0.6375,0.6013,0.3616,0.28036771982125896,0.7009973834011916
0.6726,0.7188,0.4759,0.4847,0.2349,0.16356205157190007,0.6846555190304267
0.7176,0.7665,0.5912,0.6222,0.3872,0.3053690492482545,0.7254915247614864
0.6982,0.7665,0.3947,0.4744,0.225,0.1550107083614152,0.7166017774540492
0.4858,0.494,0.4481,0.467,0.2181,0.14903634847615868,0.48804651697561363
0.483,0.494,0.3934,0.3503,0.1227,0.07262737428538345,0.48718839512372397
0.7011,0.7564,0.2655,0.3563,0.127,0.07577737483423097,0.7218211789759419
0.693,0.7564,0.3849,0.4535,0.2057,0.13849791279127946,0.7112071419157769
0.5654,0.6128,0.4432,0.6227,0.3878,0.30598290556425245,0.5730638743871797
0.6127,0.6128,0.6119,0.4722,0.223,0.15321982319443428,0.6126804236294751
0.6275,0.6609,0.5278,0.5784,0.3346,0.2544314018104899,0.6339038489692622
0.6253,0.6609,0.3901,0.3886,0.151,0.09413627099190695,0.6376011634103875
0.834,0.8905,0.7362,0.7598,0.5772,0.503208795018726,0.8388470843646693
0.8355,0.8905,0.7335,0.7344,0.5394,0.46220184046197854,0.8408723173200194
0.7349,0.8077,0.5348,0.6031,0.3638,0.2824706447136455,0.747592394995469
0.7593,0.8077,0.6385,0.6325,0.4001,0.3181642099628264,0.7668603353217818
0.4355,0.4604,0.3243,0.4741,0.2248,0.15476576127490668,0.44215940020402084
0.4265,0.4604,0.2477,0.4354,0.1896,0.12508955909621192,0.43675161662940193
0.6991,0.7464,0.4775,0.4618,0.2132,0.14492216770071917,0.712363126582671
0.685,0.7464,0.4691,0.5331,0.2841,0.20750172255342453,0.6987477055234438
0.7615,0.8328,0.5425,0.5708,0.3258,0.24615570811958773,0.7754564420469205
0.7614,0.8328,0.4823,0.5056,0.2557,0.18176809814742337,0.7788894920919381
0.5801,0.6362,0.4184,0.5886,0.3465,0.26579734859073245,0.5904654575888363
0.5919,0.6362,0.475,0.6158,0.3792,0.2975768974034222,0.5992315583165645
0.6357,0.6719,0.534,0.597,0.3564,0.2753821763345569,0.6421244528572009
