Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.6127,0.6426,0.2508,0.2874,0.0826,0.04428094794747179,0.6259863909516694
0.7019,0.7395,0.6026,0.6157,0.379,0.29745610304824854,0.7081141670522545
0.7126,0.7543,0.2576,0.3029,0.0917,0.05049497753635763,0.7304247260780542
0.5048,0.5469,0.3596,0.5387,0.2902,0.21299403396070918,0.5140113118087001
0.6123,0.666,0.4481,0.5719,0.3271,0.2473433516073501,0.6227912746351756
0.4317,0.4524,0.3457,0.4905,0.2406,0.16849907818079646,0.437013722015184
0.4074,0.4031,0.4249,0.493,0.243,0.17065432454436366,0.4062779357894698
0.5524,0.5846,0.238,0.3197,0.1022,0.057790518457312326,0.5656641205911765
0.5489,0.5846,0.3671,0.4428,0.196,0.130472513963932,0.5594974243631539
0.7218,0.7796,0.5674,0.6116,0.374,0.29252884191958745,0.7315742861883476
0.7388,0.7831,0.617,0.6032,0.3639,0.28258775040632655,0.7465038097372902
0.5903,0.617,0.4755,0.4824,0.2327,0.16162861364684739,0.5973117377082948
0.6312,0.6592,0.4094,0.3551,0.1261,0.07514094986979755,0.6417416292814924
0.5869,0.6168,0.4728,0.5119,0.262,0.1874834013175983,0.5940648529151832
0.5859,0.6168,0.3363,0.3522,0.1241,0.07361619716371076,0.5975665501331179
0.287,0.282,0.3058,0.5151,0.2653,0.19042715308990865,0.2858071764675192
0.327,0.33,0.3125,0.454,0.2061,0.13887997579573522,0.32786597391465483
0.6033,0.6501,0.4386,0.533,0.2841,0.2074044272379281,0.6137691440156715
0.6072,0.6501,0.3869,0.4417,0.1951,0.12966372625972467,0.6198896887735306
0.4502,0.4667,0.3323,0.3743,0.1401,0.08571356680089373,0.45608955565234016
0.3159,0.3187,0.2991,0.4124,0.1701,0.10921860910960964,0.3167700966239047
0.615,0.6581,0.4728,0.5501,0.3026,0.22444199086963493,0.6241342415416467
0.6291,0.6581,0.3526,0.3238,0.1049,0.059661217407475944,0.6408996895436296
0.4056,0.4417,0.2538,0.4876,0.2377,0.16601955382478742,0.4149465257024625
0.4155,0.419,0.3888,0.3619,0.131,0.07879006482004276,0.41679432529538335
