Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.4991,0.518,0.4313,0.5279,0.2787,0.20247861197679037,0.5034010745109815
0.5009,0.518,0.314,0.303,0.0918,0.050536664133508054,0.5081864638948713
0.587,0.6359,0.4289,0.5564,0.3096,0.23092332560846213,0.5970664452151616
0.5835,0.6359,0.2695,0.4086,0.1669,0.10672002191156964,0.6005683756919296
0.4045,0.4142,0.352,0.4296,0.1846,0.12096526515045146,0.4074878923850079
0.4039,0.4142,0.3406,0.4018,0.1615,0.10233515013041264,0.40736735291557447
0.4984,0.5034,0.4585,0.3531,0.1246,0.07408738973926311,0.5003029300305811
0.4983,0.5034,0.4854,0.6269,0.3929,0.31116853457868104,0.4991282122971201
0.6346,0.6934,0.3502,0.4548,0.2069,0.1394925906481833,0.6513866885459745
0.6479,0.6934,0.3157,0.37,0.1369,0.08327301903978263,0.6643655657082596
0.5464,0.605,0.3205,0.5092,0.2593,0.1850209844740108,0.5605801367465063
0.5524,0.605,0.296,0.4531,0.2053,0.13819271696566907,0.5674830233879631
0.6459,0.7066,0.4429,0.5468,0.2989,0.22109110218374423,0.6588544030158036
0.6515,0.7066,0.3543,0.4305,0.1853,0.12159980807451715,0.6684049039628526
0.7324,0.7538,0.6062,0.4127,0.1704,0.10941734493265634,0.7392428090692594
0.7123,0.7538,0.4952,0.4377,0.1916,0.12674807335730454,0.7247100440948303
0.5348,0.5614,0.3598,0.39,0.1521,0.09498641955563965,0.5439118724393057
0.5251,0.5614,0.3447,0.4483,0.201,0.13456181834923686,0.5356988477448447
0.661,0.6822,0.4162,0.2947,0.0868,0.047146595742324764,0.6702236496795675
0.6258,0.6822,0.2972,0.4143,0.1716,0.11048093302236042,0.6438966325591542
0.7151,0.7972,0.4049,0.5144,0.2646,0.18978085539536813,0.7346245860202023
0.7396,0.7972,0.6104,0.6679,0.4461,0.36456805281837484,0.7472931359738226
0.6022,0.6421,0.3661,0.4107,0.1687,0.10809653104968436,0.6151757729730902
0.6027,0.6421,0.4376,0.4886,0.2387,0.1668720712745621,0.6128548587238246
0.6859,0.7319,0.4085,0.4074,0.166,0.10593819319728491,0.7009214047306256
0.6954,0.7319,0.3328,0.3173,0.1007,0.05671202832464267,0.7104809474126556
0.5788,0.6115,0.4077,0.4374,0.1913,0.1265310018599391,0.5886093577216425
0.5817,0.6115,0.4617,0.4984,0.2484,0.17536587403589535,0.589149676146906
0.6392,0.6908,0.2794,0.3784,0.1432,0.08808010411561373,0.6574971625562293
0.6557,0.6908,0.5341,0.5369,0.2883,0.2112192566716122,0.6634737687349903
0.7204,0.7832,0.4409,0.4739,0.2246,0.15460259232474685,0.7373656430493477
0.7203,0.7832,0.4246,0.4611,0.2126,0.14437360653999415,0.7379592018818266
0.5541,0.5376,0.5988,0.6072,0.3686,0.2872958861075215,0.551258482420033
0.5345,0.5376,0.5213,0.4899,0.24,0.16798426312455356,0.5352556674816787
0.619,0.6741,0.4517,0.5736,0.3291,0.24918555126138278,0.6297360009571265
0.6061,0.6741,0.3757,0.543,0.2948,0.2172699047519997,0.620838731217375
0.5069,0.5369,0.3031,0.3834,0.147,0.09101862519580373,0.5173951500557934
0.5246,0.5369,0.4505,0.4062,0.165,0.10515981118863103,0.5286787386089207
0.5532,0.5796,0.4685,0.5581,0.3115,0.2326912519718804,0.5586280023057504
0.5387,0.5796,0.3215,0.4337,0.1881,0.1238721157255944,0.5511524634685553
0.7613,0.8189,0.5388,0.5087,0.2587,0.18456712364281552,0.7752576851826077
0.761,0.8189,0.4267,0.4159,0.173,0.11155070025960055,0.7795404056678678
0.5649,0.6017,0.4612,0.5952,0.3543,0.2733111228230142,0.5715422388147386
0.5547,0.6017,0.3514,0.4807,0.231,0.16020840818024631,0.5671371022612983
0.74,0.7807,0.6561,0.6966,0.4852,0.40500340576057287,0.7447830590510562
0.7204,0.7807,0.6011,0.7107,0.5051,0.4258099334548403,0.7270634933001316
0.3547,0.3743,0.2254,0.3895,0.1517,0.0946822685749388,0.361421203845604
0.3655,0.3743,0.3362,0.546,0.2981,0.22028331666963802,0.3674222575524358
0.7745,0.8564,0.5482,0.6013,0.3616,0.28036771982125896,0.788912097961221
0.7844,0.8564,0.478,0.4847,0.2349,0.16356205157190007,0.8032082684278034
0.777,0.8632,0.5546,0.6222,0.3872,0.3053690492482545,0.7910082403958626
